name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LAIT1-LAIT2	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT2-LAIT3	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT3-LAIT4	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT4-LAIT5	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT5-LAIT6	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT6-LAIT7	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT7-LAIT8	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT8-LAIT9	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT9-LAIT10	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT10-LAIT11	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT11-LAIT12	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT12-LAIT13	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LAIT13-LAIT14	SEEG	V	n/a	n/a	bipolar	LAIT	1000	depth	n/a
LMSO1-LMSO2	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO2-LMSO3	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO3-LMSO4	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO4-LMSO5	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO5-LMSO6	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO6-LMSO7	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO7-LMSO8	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO8-LMSO9	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO9-LMSO10	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO10-LMSO11	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO11-LMSO12	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO12-LMSO13	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO13-LMSO14	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO14-LMSO15	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMSO15-LMSO16	SEEG	V	n/a	n/a	bipolar	LMSO	1000	depth	n/a
LMIO1-LMIO2	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO2-LMIO3	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO3-LMIO4	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO4-LMIO5	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO5-LMIO6	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO6-LMIO7	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO7-LMIO8	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO8-LMIO9	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO9-LMIO10	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO10-LMIO11	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO11-LMIO12	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO12-LMIO13	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO13-LMIO14	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO14-LMIO15	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LMIO15-LMIO16	SEEG	V	n/a	n/a	bipolar	LMIO	1000	depth	n/a
LLSO1-LLSO2	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO2-LLSO3	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO3-LLSO4	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO4-LLSO5	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO5-LLSO6	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO6-LLSO7	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO7-LLSO8	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO8-LLSO9	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO9-LLSO10	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO10-LLSO11	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LLSO11-LLSO12	SEEG	V	n/a	n/a	bipolar	LLSO	1000	depth	n/a
LPST1-LPST2	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST2-LPST3	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST3-LPST4	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST4-LPST5	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST5-LPST6	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST6-LPST7	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST7-LPST8	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST8-LPST9	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST9-LPST10	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST10-LPST11	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST11-LPST12	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST12-LPST13	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST13-LPST14	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST14-LPST15	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LPST15-LPST16	SEEG	V	n/a	n/a	bipolar	LPST	1000	depth	n/a
LLIO1-LLIO2	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO2-LLIO3	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO3-LLIO4	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO4-LLIO5	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO5-LLIO6	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO6-LLIO7	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO7-LLIO8	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO8-LLIO9	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO9-LLIO10	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO10-LLIO11	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO11-LLIO12	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO12-LLIO13	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO13-LLIO14	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO14-LLIO15	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LLIO15-LLIO16	SEEG	V	n/a	n/a	bipolar	LLIO	1000	depth	n/a
LWER1-LWER2	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER2-LWER3	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER3-LWER4	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER4-LWER5	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER5-LWER6	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER6-LWER7	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER7-LWER8	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
LWER8-LWER9	SEEG	V	n/a	n/a	bipolar	LWER	1000	depth	n/a
